listing_id,building,floor,rooms,area,price,status,url,area_m2,price_eur,price_per_m2
V131,V,13,2.0,"51,82 m²",-,Predaný,,51.82,,
V128,V,12,3.0,"67,57 m²",-,Nedostupný,,67.57,,
V127,V,12,2.0,"47,44 m²",-,Nedostupný,,47.44,,
V126,V,12,1.0,"34,19 m²",-,Nedostupný,,34.19,,
V125,V,12,3.0,"65,07 m²",-,Predaný,,65.07,,
V124,V,12,2.0,"55,06 m²",-,Predaný,,55.06,,
V123,V,12,1.0,"31,05 m²",-,Nedostupný,,31.05,,
V122,V,12,1.0,"31,21 m²",-,Nedostupný,,31.21,,
V121,V,12,2.0,"51,58 m²",-,Nedostupný,,51.58,,
V118,V,11,3.0,"67,33 m²",-,Nedostupný,,67.33,,
V117,V,11,2.0,"47,83 m²",-,Predaný,,47.83,,
V116,V,11,1.0,"34,50 m²",-,Nedostupný,,34.5,,
V115,V,11,3.0,"64,54 m²",-,Nedostupný,,64.54,,
V114,V,11,2.0,"54,38 m²",-,Nedostupný,,54.38,,
V113,V,11,1.0,"31,05 m²",-,Nedostupný,,31.05,,
V112,V,11,1.0,"31,47 m²",192 555 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v112/,31.47,192555.0,6118.684461391802
V111,V,11,2.0,"51,11 m²",-,Nedostupný,,51.11,,
V108,V,10,3.0,"67,57 m²",321 163 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v108/,67.57,321163.0,4753.041290513542
V107,V,10,2.0,"47,44 m²",-,Nedostupný,,47.44,,
V106,V,10,1.0,"34,19 m²",-,Nedostupný,,34.19,,
V105,V,10,3.0,"65,07 m²",-,Nedostupný,,65.07,,
V104,V,10,2.0,"55,06 m²",285 147 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v104/,55.06,285147.0,5178.841264075554
V103,V,10,1.0,"31,21 m²",-,Nedostupný,,31.21,,
V102,V,10,1.0,"31,21 m²",190 537 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v102/,31.21,190537.0,6104.998397949375
V101,V,10,2.0,"51,58 m²",-,Nedostupný,,51.58,,
V98,V,9,3.0,"66,84 m²",-,Nedostupný,,66.84,,
V97,V,9,2.0,"47,44 m²",-,Nedostupný,,47.44,,
V96,V,9,1.0,"34,50 m²",-,Nedostupný,,34.5,,
V95,V,9,3.0,"65,30 m²",-,Rezervovaný,,65.3,,
V94,V,9,2.0,"54,83 m²",-,Predaný,,54.83,,
V93,V,9,1.0,"31,47 m²",190 019 €,Voľný,https://www.ceresne.sk/ponuka-bytov/byt/v93/,31.47,190019.0,6038.099777565936
